image_id,label
150f213f-012a-4c35-9359-b6ddf55e7633,1
e531de78-63e1-484d-b55d-823f54db2487,1
86a6a401-5cf9-4aa9-b913-1fddc8c64320,1
b3daed30-07de-4f31-956f-e414ecfadec4,1
bbf1b530-f0e7-4c15-b6f3-e9ad47f69e56,0
b35a535b-0478-4989-84aa-0bfc6c6c89b2,0
57c0d217-4734-43b9-bcfb-24d1aa260a9c,1
9d715316-25ce-4c6f-8673-24a115cd07d6,1
b4232a5c-dcc2-45d6-9c71-3ef7573299a2,1
6b9993a9-4da2-48ee-bbb0-e6cf1882c1f8,0
bc94ed55-b522-458d-ac9f-ef65fbf8653d,1
32d7e2e0-51e8-48c9-9f90-c5d78d349f04,1
26d0ee80-1935-404a-b71b-76867805366e,1
5f1dd73d-1152-48f6-9cde-2ace29f004cf,1
9e299f9e-c42a-44a0-b717-12fefe88ba70,0
8f4e1f89-a761-4199-9f8d-c470e4400b56,0
90696e7a-05b9-45c4-8ffe-fd32b54bed5c,0
bfc172f9-b374-475b-9ee8-72971a25cb82,1
61841291-cad9-44cd-8fa5-2f0f5efa4f41,1
8e9f74d5-5337-4d49-82c1-dcde64e475c5,0
ef9b2ab7-8f29-4e7d-82b9-842c9c37b139,1
b4a5e667-3cb1-44e7-843a-a6e4e33e2317,1
89442eb9-56b4-40a0-9694-73b791d3b30e,1
fff8d60a-b956-4119-9b8d-8529e5cb33d2,0
ed06d191-c32b-4aa9-9088-3f41032f3cf7,1
4790246b-1941-49bf-b7c6-d9028c57c4a0,1
e2d3ae0a-82df-4c61-8eec-d88faf9118a4,0
10d3ec2d-c924-4481-b9f3-ffc8b0bcecf8,0
502c0083-c9b0-46f5-bc6a-49290198ce4a,0
02104141-873a-48e6-b93d-4128e1364cda,1
a0aaa408-20db-4f6d-852f-a4d752b7e73a,1
04ae7715-5fb1-4cf4-8a30-b0b3d0c301c2,1
60bcdc11-e151-45a5-8bd8-5f8a9b517cd2,1
b6533f25-063a-4dcb-b9eb-30303ca1eb8f,0
78f79717-f793-4d87-993f-e176017362eb,1
341a956c-61d5-44f7-8b80-6cdf3b9e1449,1
a199a59b-0575-4c98-bf35-04bb762caa96,0
937beb6c-df83-4025-b4ab-3174444abcf2,1
9cf0f98a-a507-4f25-9e36-eaddcdf18a83,1
2f586148-8d24-4d25-b82d-eb80a52e2f12,1
32adb295-8301-4e03-8330-ea7286518fd9,1
b4e4acd9-e58d-472b-9838-f09c0462b845,1
c73983b1-f80a-4f9c-a7f5-eaf2b83f0713,1
ba5b6c67-836c-41a2-acb8-f67bab6a33d4,0
83644bc3-58dc-4cfc-8930-036edc092527,0
ae4df16d-ea47-48c5-9d05-65325c4e9ece,0
a498be19-be4d-420b-89bb-12ff496337af,1
6ccbb030-e072-429e-a38b-54f8a0206367,0
00e674e7-6329-4863-b459-019f76a03a7d,1
80f69504-8d4b-4645-a686-6b861db20290,1
04d291b3-9099-4042-9b28-b3dc4c5dd2b4,1
6c7528b0-f900-4538-8eff-07c28b6b8b13,1
e5430a75-cad8-492e-8d56-aa805ab52b16,1
d64bd752-1794-40fb-aa09-dcb02914f3df,1
0f9e171a-5064-435d-abaa-86bcd493869f,1
24e3f21d-e249-4c3a-a8ed-5a2a62681254,1
c9d04074-7d77-4422-9176-28dd7264de28,1
4f731451-6ba6-43cc-96d3-3a1b452af164,0
891d2dfc-5760-47b6-87e1-b834aaaf159c,1
967551e5-5b2e-4351-a46d-979339b41ef1,0
27285e2b-de2a-4326-86ae-7067ac32b657,0
41ca7689-d2a2-4a06-8053-7891bfa6a421,1
31c41356-9cce-4895-82ed-34ec5cfe9bae,1
0d66df44-f5b5-4fea-a1d7-4a02f2ae341c,1
d61380bd-c3ec-48e1-bf53-e86b9e36c69e,1
4cd1e494-5274-45ee-9908-49370038116f,1
af094d04-ba52-4ad5-86e8-aef8f00c6b48,0
da3caff8-c38d-4d60-9abc-d4ae5d70221c,1
31115cc4-eca6-4363-a70f-9e604b170ea2,1
3c226c67-10db-453e-9bfe-830c3972a6c0,1
83e96a50-554b-4939-8164-1a2ee18c5893,1
96fac343-ecc4-4f4d-ab28-ec51addfea8f,1
147e3b2f-6713-42ff-8c0e-9654404cca40,1
5cd2eadd-d74b-43b7-9bfe-09f79470baea,1
8a4ff8b6-57ae-434e-8683-cb4c430f2fdc,1
706690e5-ecdf-411f-9246-14c9377a36c7,1
2cefe41f-bf00-42b3-93fc-8da5c6b52d3c,1
c33bbf79-2827-40c2-b10c-2eab6aed3657,1
5a29559c-9f3c-48df-b2d4-86a6e78aa7c1,1
fa98dbb4-31f4-4be6-a477-e42c87271be0,0
278c7e6b-c37d-43e5-8670-a6f7ab737066,1
aa2a227c-8296-400a-b0e4-709a94433934,1
615d1513-fe5c-4127-8e11-31d5272dab95,0
b1922e01-81dd-4092-986a-2f0f31c9ae48,1
6e3f14b5-7671-408b-bde4-00b32c58df7c,1
c79b869f-1f31-42cf-a3b4-f719d17f3883,1
5b4802e7-e42e-4d57-bebe-bc9e5483417c,1
abfc345c-fd67-4735-a89a-ce11cce4346c,1
0f9680f9-941f-4263-afa9-64f8a3f42116,1
3073a44e-2d74-49f1-96f5-15f38dad81d2,1
e829eb50-0d97-47de-921d-7fd8cdd57ae5,1
cd0fa6c5-b897-4682-9728-9ca6fff8338e,1
6d45fa6d-31f5-4c1e-9a62-74858352b84f,0
23648507-3b4d-475f-a427-2201a2102099,1
55d9019b-e8d1-4603-928e-fbd9abb873f9,1
8c9a76f0-9c91-4674-9cbe-65049925bd46,1
4704d5ec-8d7b-475d-8947-af8de344f770,0
e7e8a358-4cd1-4eeb-adb9-e5b4603a64f7,1
3f9e202f-103e-4e7b-9cfa-4777e12e6d9f,0
73b592a0-4d4c-43d8-b58c-31d090334adc,1
e0e6200a-428a-4bda-b035-97ff0c9d0fc9,0
a3a0b02e-1cac-4ac9-9f9c-68ed9cec11ae,1
03ff9696-572b-49f2-9c10-988ef7dddf11,1
3faacf78-c996-49bf-8faa-bfcaa7db9b3b,1
4df98aae-fb23-4f23-88c9-e23cce4d44c6,1
69b5fa7e-10ab-453d-88bc-8f805149441d,1
f791245d-688f-4a25-97f6-9cfd97f2c0de,1
97179f33-1816-4881-99c0-0de8a0281117,1
f5718541-282f-4b7b-9455-9a2bae1822f4,1
a3b1a9b0-ee95-4bce-8bd3-8638f504a468,1
08727778-a6b2-4216-8883-edd223122cce,1
81c97fd4-505b-411f-8422-d403824ee64b,1
9a0f24a8-43f6-4f24-8387-66325f283316,0
d53fb67b-93d7-4b53-8fc2-a0337c81ef0e,1
beb14d3d-2b1a-4b19-8dbe-d2c827e0beb2,1
0bc06f8b-c0da-4588-831a-2100584f4a5f,1
592f9092-8e16-41de-a841-1facfc9ceba9,0
b57ec156-e60d-438b-8685-8ef3b3cc5922,1
2d91b5be-d9a5-419c-8ac6-ab9fa8e4c74f,1
15db1e9c-0472-4737-b44d-78d4221c5e7e,1
7bf8a4ad-3476-4acc-b028-b6b09b25dc9a,1
1362b2fa-dcbf-4d6e-84e2-03b75a699260,0
80e90060-5c5d-4164-a4b2-dac4220cf561,1
7a3f7558-de2e-4163-9ad2-39edd2c1a791,1
4a2c0988-a282-4cf6-832d-f8c1a50028ca,0
24abd317-3ba1-414e-b52c-4f1d2517e89e,1
5b238ae1-4328-44bc-9af3-9cebe964f024,1
9e9737a3-484f-4931-9eda-34a75125f600,1
a5765578-82a8-4947-935f-b34beb56646e,1
8a2e0dfd-e75b-4135-942b-55966567dc1d,1
eae350ba-ab1e-40db-ae91-2efeba8f95d2,1
df531a81-9e1f-4e1b-9206-b35bb964bd1f,1
bcb9022a-1e72-4961-a96b-b26453cdb5c2,0
5921b112-b715-4533-b713-ae3b11805052,1
9252d93e-582a-4d21-82ca-6db249162005,0
374b6be2-fbb3-4559-8df7-101a0f4ce3b2,0
5ad7a531-9fb9-4b03-8a8e-98db86d661eb,1
4685ab1e-d746-4d1f-847f-ab40a363add1,1
3c3942a5-de1d-4001-bc71-63f2a256b946,1
daa5b37e-659a-4fbf-add0-a07dc39c319d,1
38433bb0-7762-41d1-8e2a-620dfbb063c9,1
28ffe257-be3f-4d91-9def-a9844525e3b6,1
65c297db-6967-44cd-8b4d-342d3e66ff93,0
b01ebf51-b830-4b25-bdd4-919342c19d63,1
2b31e1ee-8e2b-449d-9884-57c62c1bce1a,0
6527068a-fc5e-4fbe-8f64-67ca27a3ed25,1
0cd87ff4-020d-4d5f-9a83-d0d22fce90c8,1
84548794-20c5-44ca-a6ed-29ea760170f8,1
881f489e-a053-4757-9d04-4cb7142b0d9e,0
ee29f209-6e0d-4cc6-beb5-f61d37538db1,0
d15ed08e-c7b7-458d-a69c-4242f188aa0b,1
700765d8-f523-46f8-8491-c52a81649c9b,0
f7b4c3ed-6a3a-4efe-8677-cc6dd402e14b,1
685d83dc-98a1-432a-a904-3e2acf6a67e2,1
7d213dc7-9fa9-4e1b-9569-62b497ebec2c,0
1c3af03e-82c1-41da-8c53-03f15a16920c,1
e27101e8-f5c4-4d33-969d-acdf554e5a3d,1
d941405c-cdb4-4543-9761-0dde89a732cf,1
f6013cc3-3b1a-4a96-b8ba-ec9810be980c,0
